trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.7, 'e': 0.0049785891596606825}",20,1,35.51112995089455,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.0049075513975064015}",25,18,10.028565608655992,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.004838350085536418}",25,8,22.951165456665414,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.004770916970742107}",20,0,8.070036570741255,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.00470518709126616}",25,2,36.828916061935544,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.004641098582148878}",20,8,20.22124929417181,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.004578592494591338}",20,0,29.86703278348097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.7, 'e': 0.004517612627655314}",20,6,25.860494536165977,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.004458105371417039}",20,0,26.90875393897159,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.004400019560679402}",25,13,22.62258212997622,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00434330633842606}",25,0,16.218576476924344,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.004287919028272059}",20,0,30.57671060406642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.004233813015229878}",20,0,29.199996412448435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.7, 'e': 0.0041809456341678685}",25,17,14.717480643919334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.0041292760653907305}",25,0,39.42851269174531,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.00407876523681929}",20,10,15.158909717000263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.004029375732290144}",20,0,24.825499748873238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.003981071705534973}",30,0,45.134914222116244,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.003933818799435044}",25,11,27.905451236494553,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.0038875840701789043}",20,9,19.8285439539762,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.0038423359159808694}",20,9,22.801730731669625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.003798044010044845}",25,11,22.20928859515191,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.0037546792374826697}",30,14,17.955296154569982,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.0037122136359186183}",20,10,14.909323858819663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.003670620339532272}",30,16,27.660516740623795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.0036298735263107216}",20,0,9.36059430238923,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.7, 'e': 0.0035899483682983384}",20,0,27.275207228653294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.7, 'e': 0.0035508209846480607}",25,9,29.588971527160123,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.003512468397292665}",20,0,29.285490953906685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 0.0034748684890677276}",20,7,21.785970363560658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.003437999964130215}",30,18,25.808620372952483,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.003401842310527841}",25,3,30.6834664227428,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.0033663757647846453}",20,12,16.921792594751555,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.0033315812783777763}",25,0,34.249885278119336,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.7, 'e': 0.00329744048598917}",20,9,21.438033971238664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.003263935675423947}",30,0,45.11605658161734,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.7, 'e': 0.003231049759094749}",20,2,23.324697046831204,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.0031987662469781467}",30,19,21.895556792531007,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.0031670692209555982}",20,8,22.926007181563335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.003135943310457312}",30,16,25.216326029147428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.003105373669332811}",25,0,38.49859555012485,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.7, 'e': 0.003075345953877024}",25,13,23.31514302013167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.0030458463019454062}",20,0,23.08850023864519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.7, 'e': 0.003016861313095908}",25,10,27.471389333559195,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.0029883780296996146}",20,5,25.38815938551774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.002960383918965622}",20,16,7.843374402631418,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.0029328668558291572}",20,1,29.744985501674904,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.0029058151066551716}",30,14,30.030771089833063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.0028792173137126165}",25,0,34.44897898807043,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.7, 'e': 0.0028530624803774066}",20,15,11.065629639134045,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.0028273399570246417}",25,0,36.92800937918324,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.0028020394275730864}",20,3,25.421504265716575,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.0027771508966471484}",20,16,8.092758661783535,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.0027526646773236804}",20,0,31.199514871107105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.7, 'e': 0.0027285713794329043}",20,9,21.512478489802042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
